"","V1"
"676",707.649984065817
"677",707.76838434228
"678",706.990985291093
"679",707.417654725542
"680",707.637614366158
"681",706.882033633017
"682",706.9400172107
"683",705.355776167964
"684",704.58009899271
"685",703.886259651095
"686",703.704537570848
"687",700.970991323353
"688",700.263194559614
"689",699.087576842609
"690",699.802724007668
"691",701.077826234818
"692",701.38405225558
"693",702.433601678896
"694",701.383548579882
"695",701.56982428683
"696",702.93512688165
"697",703.379497000692
"698",704.413589666102
"699",703.464504126805
"700",703.957493623399
"701",704.082116491344
"702",703.609059155457
"703",703.734041040598
"704",703.649118537372
"705",703.644257928487
"706",704.204377913351
"707",706.148809006075
"708",705.77434547517
"709",704.799741375321
"710",704.483817130312
"711",704.546586759249
"712",704.292933512871
"713",703.800985711843
"714",699.356081820172
"715",700.375505374859
"716",701.252298208689
"717",697.795971419536
"718",700.184717350434
"719",701.46123037616
"720",700.64222378475
"721",701.561767870948
"722",699.959145863001
"723",700.103804596422
"724",700.64326472922
"725",698.901057275539
